"data";"valor"
"01/01/2002";"16306"
"01/04/2002";"17581"
"01/07/2002";"19076"
"01/10/2002";"16411"
"01/01/2003";"16954"
"01/04/2003";"18154"
"01/07/2003";"19881"
"01/10/2003";"25261"
"01/01/2004";"26087"
"01/04/2004";"24071"
"01/07/2004";"25182"
"01/10/2004";"29778"
"01/01/2005";"29844"
"01/04/2005";"29379"
"01/07/2005";"36666"
"01/10/2005";"38019"
"01/01/2006";"43633"
"01/04/2006";"41483"
"01/07/2006";"45151"
"01/10/2006";"39211"
"01/01/2007";"44683"
"01/04/2007";"58673"
"01/07/2007";"63544"
"01/10/2007";"52754"
"01/01/2008";"51615"
"01/04/2008";"54533"
"01/07/2008";"61373"
"01/10/2008";"54827"
"01/01/2009";"52414"
"01/04/2009";"59285"
"01/07/2009";"63988"
"01/10/2009";"53193"
"01/01/2010";"52436"
"01/04/2010";"54153"
"01/07/2010";"55417"
"01/10/2010";"60300"
"01/01/2011";"57515"
"01/04/2011";"57643"
"01/07/2011";"67799"
"01/10/2011";"63228"
"01/01/2012";"65197"
"01/04/2012";"65961"
"01/07/2012";"68517"
"01/10/2012";"72352"
"01/01/2013";"67284"
"01/04/2013";"69937"
"01/07/2013";"70015"
"01/10/2013";"74058"
"01/01/2014";"75377"
"01/04/2014";"74971"
"01/07/2014";"67734"
"01/10/2014";"89191"
"01/01/2015";"87703"
"01/04/2015";"86497"
"01/07/2015";"90225"
"01/10/2015";"97004"
"01/01/2016";"92761"
"01/04/2016";"95979"
"01/07/2016";"84119"
"01/10/2016";"89349"
"01/01/2017";"88182"
"01/04/2017";"84812"
"01/07/2017";"82922"
"01/10/2017";"74793"
"01/01/2018";"75627"
"01/04/2018";"80136"
"01/07/2018";"75730"
"01/10/2018";"75111"
"01/01/2019";"74124"
"01/04/2019";"75190"
"01/07/2019";"76182"
"01/10/2019";"70755"
"01/01/2020";"71409"
"01/04/2020";"71158"
"01/07/2020";"69927"
"01/10/2020";"72505"
"01/01/2021";"79641"
"01/04/2021";"79372"
"01/07/2021";"85245"
"01/10/2021";"80269"
"01/01/2022";"84429"
"01/04/2022";"85398"
"01/07/2022";"78186"
"01/10/2022";"76424"
"01/01/2023";"71851"
"01/04/2023";"76619"
"01/07/2023";"76448"
"01/10/2023";"83685"
"01/01/2024";"91336"
